"","EOO","AOO","Nbe_unique_occ.","Nbe_subPop","Nbe_loc","Nbe_loc_PA","Category_CriteriaB","Category_code","Ratio_occ_within_PA","Category_AOO","Category_EOO"
"Aglyptodactylus laticeps",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Aglyptodactylus madagascariensis","301893.858","148","39",NA,"28","9","LC","LC B1a+B2a","55.4","NT or LC","NT or LC"
"Aglyptodactylus securifer",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Anodonthyla boulengerii","88638.733","96","27",NA,"17","6","LC","LC B1a+B2a","53.2","NT or LC","NT or LC"
"Anodonthyla montana",NA,"4","1",NA,"1","1","EN","EN B2a","100","EN",NA
"Anodonthyla moramora","799.343","36","13",NA,"4","2","EN","EN B1a+B2a","75","EN","EN"
"Anodonthyla rouxae",NA,"8","2",NA,"2","1","EN","EN B2a","50","EN",NA
"Blommersia blommersae","31093.608","52","13",NA,"9","4","VU","VU B2a","28.9","VU","NT or LC"
"Blommersia domerguei",NA,"4","1",NA,"1","1","EN","EN B2a","100","EN",NA
"Blommersia grandisonae","20707.35","32","8",NA,"7","3","VU","VU B2a","55.6","VU","NT or LC"
"Blommersia kely",NA,"4","1",NA,"1","1","EN","EN B2a","100","EN",NA
"Blommersia sarotra",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Blommersia wittei","50743.318","36","9",NA,"5","3","EN","EN B2a","75","EN","NT or LC"
"Boehmantis microtympanum","659.539","16","4",NA,"3","1","EN","EN B1a+B2a","12.5","EN","EN"
"Boophis albilabris","37089.427","60","16",NA,"12","7","NT","NT B1a+B2a","44.4","NT or LC","NT or LC"
"Boophis andohahela","20213.336","24","6",NA,"5","2","EN","EN B2a","45.5","EN","NT or LC"
"Boophis ankaratra","190.703","16","5",NA,"2","1","EN","EN B1a+B2a","80","EN","EN"
"Boophis axelmeyeri",NA,"4","1",NA,"1","1","EN","EN B2a","100","EN",NA
"Boophis boehmei","27731.977","28","9",NA,"6","3","VU","VU B2a","62.1","VU","NT or LC"
"Boophis bottae","4947.79","16","4",NA,"4","1","EN","EN B1a+B2a","16.7","EN","EN"
"Boophis brachychir","88863.486","28","9",NA,"5","3","EN","EN B2a","63.6","EN","NT or LC"
"Boophis burgeri",NA,"8","2",NA,"2","0","EN","EN B2a","0","EN",NA
"Boophis doulioti","69241.743","24","8",NA,"6","3","VU","VU B2a","37.5","VU","NT or LC"
"Boophis elenae","1638.71","36","9",NA,"5","3","EN","EN B1a+B2a","66.7","EN","EN"
"Boophis erythrodactylus","38094.388","20","6",NA,"5","2","EN","EN B2a","27.3","EN","NT or LC"
"Boophis feonnyala",NA,"8","2",NA,"2","1","EN","EN B2a","33.33","EN",NA
"Boophis goudotii","36354.317","60","17",NA,"13","6","NT","NT B1a+B2a","23.4","NT or LC","NT or LC"
"Boophis guibei","11080.727","28","7",NA,"5","2","EN","EN B2a","51.5","EN","VU"
"Boophis haematopus",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Boophis idae",NA,"8","2",NA,"2","1","EN","EN B2a","50","EN",NA
"Boophis laurenti",NA,"4","1",NA,"1","1","EN","EN B2a","100","EN",NA
"Boophis liami","190.303","16","4",NA,"3","1","EN","EN B1a+B2a","14.3","EN","EN"
"Boophis lichenoides",NA,"8","2",NA,"2","0","EN","EN B2a","0","EN",NA
"Boophis lilianae",NA,"8","2",NA,"2","1","EN","EN B2a","33.33","EN",NA
"Boophis luteus","125342.749","100","25",NA,"16","7","LC","LC B1a+B2a","38.9","NT or LC","NT or LC"
"Boophis madagascariensis","84504.942","132","41",NA,"18","7","LC","LC B1a+B2a","52.5","NT or LC","NT or LC"
"Boophis majori","40597.984","44","13",NA,"5","2","EN","EN B2a","95","EN","NT or LC"
"Boophis mandraka","990.336","16","4",NA,"3","1","EN","EN B1a+B2a","14.3","EN","EN"
"Boophis marojezensis","4604.309","32","8",NA,"4","1","EN","EN B1a+B2a","40","EN","EN"
"Boophis microtympanum",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Boophis miniatus","21014.748","36","10",NA,"5","3","EN","EN B2a","56.8","EN","NT or LC"
"Boophis occidentalis",NA,"8","2",NA,"2","1","EN","EN B2a","33.33","EN",NA
"Boophis opisthodon","203720.681","44","11",NA,"11","1","NT","NT B1a+B2a","7.7","NT or LC","NT or LC"
"Boophis pauliani",NA,"4","1",NA,"1","1","EN","EN B2a","100","EN",NA
"Boophis periegetes","10507.537","40","14",NA,"4","4","LC","EN B2a","100","EN","VU"
"Boophis picturatus","3306.52","48","13",NA,"4","2","EN","EN B1a+B2a","88.9","EN","EN"
"Boophis pyrrhus","24039.993","24","6",NA,"6","2","VU","VU B2a","15.4","VU","NT or LC"
"Boophis rappiodes","16077.07","36","10",NA,"8","2","VU","VU B1a+B2a","13.3","VU","VU"
"Boophis reticulatus","29631.507","60","20",NA,"8","4","VU","VU B2a","80.8","VU","NT or LC"
"Boophis rhodoscelis","462.173","20","5",NA,"4","2","EN","EN B1a+B2a","37.5","EN","EN"
"Boophis rufioculis",NA,"8","2",NA,"2","1","EN","EN B2a","66.67","EN",NA
"Boophis sambirano","3384.639","12","5",NA,"2","1","EN","EN B1a+B2a","62.5","EN","EN"
"Boophis schuboeae","523.118","16","5",NA,"3","1","EN","EN B1a+B2a","33.3","EN","EN"
"Boophis septentrionalis",NA,"4","1",NA,"1","0","CR","CR B2a","0","CR",NA
"Boophis sibilans","7247.974","20","5",NA,"4","0","EN","EN B2a","0","EN","VU"
"Boophis solomaso",NA,"8","2",NA,"2","1","EN","EN B2a","50","EN",NA
"Boophis tasymena","7512.751","24","6",NA,"5","3","EN","EN B2a","60","EN","VU"
